ShortName,Variable,LongName,Source
P9,APAC.FOS.BREW.BH.WCO01_PI03,TSM,Historian
P9,APAC.FOS.BREW.BH.WCO02_PI03,TSM,Historian
P9,APAC.FOS.BREW.BH.WCO03_PI03,TSM,Historian
P9,APAC.FOS.BREW.BH.WCO01_PI04,TSM,Historian
P9,APAC.FOS.BREW.BH.WCO02_PI04,TSM,Historian
P9,APAC.FOS.BREW.BH.WCO03_PI04,TSM,Historian
P9,APAC.FOS.BREW.BH.WHI01_PI04,TSM,Historian
P9,APAC.FOS.BREW.BH.WHI02_PI04,TSM,Historian
P9,APAC.FOS.BREW.BH.WHI03_PI04,TSM,Historian
P9,APAC.FOS.BREW.BH.BOI01_PI15,TSM,Historian
P9,APAC.FOS.BREW.BH.BOI02_PI15,TSM,Historian
P9,APAC.FOS.BREW.BH.BOI03_PI15,TSM,Historian
P9,APAC.FOS.BREW.BH.BOI04_PI15,TSM,Historian
P9,APAC.FOS.BREW.BH.BOI05_PI15,TSM,Historian
P9,APAC.FOS.BREW.BH.BOI06_PI15,TSM,Historian
P9,APAC.FOS.BREW.BH.LTN01_PI23,TSM,Historian
P9,APAC.FOS.BREW.BH.LTN02_PI23,TSM,Historian
P9,APAC.FOS.BREW.BH.LTN03_PI23,TSM,Historian
P9,APAC.FOS.BREW.BH.LTN04_PI23,TSM,Historian
P9,APAC.FOS.BREW.BH.LTN05_PI23,TSM,Historian
P9,APAC.FOS.BREW.BH.MSH01_PI09,TSM,Historian
P9,APAC.FOS.BREW.BH.MSH02_PI09,TSM,Historian
P9,APAC.FOS.BREW.BH.MSH03_PI09,TSM,Historian
P9,APAC.FOS.BREW.BH.MSH04_PI09,TSM,Historian
P9,APAC.FOS.BREW.BH.MSH01_PI08,TSM,Historian
P9,APAC.FOS.BREW.BH.MSH02_PI08,TSM,Historian
P9,APAC.FOS.BREW.BH.MSH03_PI08,TSM,Historian
P9,APAC.FOS.BREW.BH.MSH04_PI08,TSM,Historian
P9,APAC.FOS.BREW.BH.ADJ01_PI08,TSM,Historian
P9,APAC.FOS.BREW.BH.ADJ02_PI08,TSM,Historian
P9,APAC.FOS.BREW.BH.ADJ03_PI08,TSM,Historian
P9,APAC.FOS.BREW.BH.RCO01.PI18,TSM,Historian
P9,APAC.FOS.BREW.BH.RCO02.PI18,TSM,Historian
P9,APAC.FOS.BREW.BH.RCO03.PI18,TSM,Historian
P9,APAC.FOS.BREW.BH.RCO04.PI18,TSM,Historian
P9,APAC.FOS.BREW.BH.MAC01.PI21,TSM,Historian
P9,APAC.FOS.BREW.BH.MAC02.PI21,TSM,Historian
P9,APAC.FOS.BREW.BH.MAC03.PI21,TSM,Historian
P9,APAC.FOS.BREW.BH.MAC01.PI20,TSM,Historian
P9,APAC.FOS.BREW.BH.MAC02.PI20,TSM,Historian
